# Descriptor 1, Descriptor 2, RegionID
-1.0000e+02,5.3333e+00,4.0000e+00
-1.0000e+02,5.3367e+00,4.0000e+00
-1.0000e+02,5.3400e+00,4.0000e+00
-1.0000e+02,5.3434e+00,4.0000e+00
-1.0000e+02,5.3467e+00,4.0000e+00
-1.0000e+02,5.3501e+00,4.0000e+00
-1.0000e+02,5.3534e+00,4.0000e+00
-1.0000e+02,5.3568e+00,4.0000e+00
-1.0000e+02,5.3601e+00,4.0000e+00
-1.0000e+02,5.3635e+00,4.0000e+00
-1.0000e+02,5.3668e+00,4.0000e+00
-1.0000e+02,5.3702e+00,4.0000e+00
-1.0000e+02,5.3735e+00,4.0000e+00
-1.0000e+02,5.3769e+00,4.0000e+00
-1.0000e+02,5.3802e+00,4.0000e+00
-1.0000e+02,5.3836e+00,4.0000e+00
-1.0000e+02,5.3869e+00,4.0000e+00
-1.0000e+02,5.3903e+00,4.0000e+00
-1.0000e+02,5.3936e+00,4.0000e+00
-1.0000e+02,5.3970e+00,4.0000e+00
-1.0000e+02,5.4003e+00,4.0000e+00
-1.0000e+02,5.4037e+00,4.0000e+00
-1.0000e+02,5.4070e+00,4.0000e+00
-1.0000e+02,5.4104e+00,4.0000e+00
-1.0000e+02,5.4137e+00,4.0000e+00
-1.0000e+02,5.4171e+00,4.0000e+00
-1.0000e+02,5.4204e+00,4.0000e+00
-1.0000e+02,5.4238e+00,4.0000e+00
-1.0000e+02,5.4271e+00,4.0000e+00
-1.0000e+02,5.4305e+00,4.0000e+00
-1.0000e+02,5.4338e+00,4.0000e+00
-1.0000e+02,5.4372e+00,4.0000e+00
-1.0000e+02,5.4405e+00,4.0000e+00
-1.0000e+02,5.4439e+00,4.0000e+00
-1.0000e+02,5.4472e+00,4.0000e+00
-1.0000e+02,5.4506e+00,4.0000e+00
-1.0000e+02,5.4539e+00,4.0000e+00
-1.0000e+02,5.4573e+00,4.0000e+00
-1.0000e+02,5.4606e+00,4.0000e+00
-1.0000e+02,5.4640e+00,4.0000e+00
-1.0000e+02,5.4673e+00,4.0000e+00
-1.0000e+02,5.4707e+00,4.0000e+00
-1.0000e+02,5.4740e+00,4.0000e+00
-1.0000e+02,5.4774e+00,4.0000e+00
-1.0000e+02,5.4807e+00,4.0000e+00
-1.0000e+02,5.4841e+00,4.0000e+00
-1.0000e+02,5.4874e+00,4.0000e+00
-1.0000e+02,5.4908e+00,4.0000e+00
-1.0000e+02,5.4941e+00,4.0000e+00
-1.0000e+02,5.4975e+00,4.0000e+00
-1.0000e+02,5.5008e+00,4.0000e+00
-1.0000e+02,5.5042e+00,4.0000e+00
-1.0000e+02,5.5075e+00,4.0000e+00
-1.0000e+02,5.5109e+00,4.0000e+00
-1.0000e+02,5.5142e+00,4.0000e+00
-1.0000e+02,5.5176e+00,4.0000e+00
-1.0000e+02,5.5209e+00,4.0000e+00
-1.0000e+02,5.5243e+00,4.0000e+00
-1.0000e+02,5.5276e+00,4.0000e+00
-1.0000e+02,5.5310e+00,4.0000e+00
-1.0000e+02,5.5343e+00,4.0000e+00
-1.0000e+02,5.5377e+00,4.0000e+00
-1.0000e+02,5.5410e+00,4.0000e+00
-1.0000e+02,5.5444e+00,4.0000e+00
-1.0000e+02,5.5477e+00,4.0000e+00
-1.0000e+02,5.5511e+00,4.0000e+00
-1.0000e+02,5.5544e+00,4.0000e+00
-1.0000e+02,5.5578e+00,4.0000e+00
-1.0000e+02,5.5611e+00,4.0000e+00
-1.0000e+02,5.5645e+00,4.0000e+00
-1.0000e+02,5.5678e+00,4.0000e+00
-1.0000e+02,5.5712e+00,4.0000e+00
-1.0000e+02,5.5745e+00,4.0000e+00
-1.0000e+02,5.5779e+00,4.0000e+00
-1.0000e+02,5.5812e+00,4.0000e+00
-1.0000e+02,5.5846e+00,4.0000e+00
